Degrees of Freedom,Critical t-value (alpha/2 = 0.025)
1,12.706204736432095
2,4.302652729696142
3,3.182446305284263
4,2.7764451051977987
5,2.570581835636314
6,2.4469118511449692
7,2.3646242515927844
8,2.306004135204166
9,2.262157162854099
10,2.2281388519649385
11,2.200985160082949
12,2.1788128296634177
13,2.1603686564610127
14,2.1447866879169273
15,2.131449545559323
16,2.1199052992210112
17,2.1098155778331806
18,2.10092204024096
19,2.093024054408263
20,2.085963447265837
21,2.079613844727662
22,2.0738730679040147
23,2.0686576104190406
24,2.063898561628021
25,2.059538552753294
26,2.055529438642871
27,2.0518305164802833
28,2.048407141795244
29,2.0452296421327034
30,2.0422724563012373
31,2.0395134463964077
32,2.036933343460101
33,2.034515297449338
34,2.032244509317718
35,2.0301079282503425
36,2.0280940009804502
37,2.0261924630291093
38,2.024394163911969
39,2.0226909200367604
40,2.0210753903062733
41,2.019540970441376
42,2.018081702818444
43,2.016692199227824
44,2.0153675744437636
45,2.014103388880846
46,2.0128955989194286
47,2.0117405137297655
48,2.010634757624232
49,2.0095752371292392
50,2.008559112100761
51,2.0075837703158355
52,2.006646805061688
53,2.0057459953178687
54,2.004879288188057
55,2.004044783289146
56,2.003240718847872
57,2.002465459291007
58,2.0017174841452356
59,2.0009953780882674
60,2.00029782201426
61,1.9996235849949393
62,1.9989715170333786
63,1.9983405425207408
64,1.9977296543176926
65,1.9971379083920033
66,1.9965644189523115
67,1.9960083540252962
68,1.9954689314298437
69,1.9949454151072374
70,1.994437111771186
71,1.993943367845625
72,1.9934635666618716
73,1.992997125889855
74,1.9925434951809322
75,1.9921021540022417
76,1.9916726096446642
77,1.9912543953883841
78,1.9908470688116904
79,1.9904502102301282
80,1.9900634212544455
81,1.9896863234569024
82,1.9893185571365721
83,1.9889597801751622
84,1.9886096669757087
85,1.9882679074772214
86,1.9879342062390202
87,1.9876082815890703
88,1.987289864831169
89,1.9869786995062808
90,1.9866745407037676
91,1.9863771544186175
92,1.98608631695113
93,1.9858018143458231
94,1.985523441866604
95,1.9852510035091888
96,1.9849843115310182
97,1.9847231860271193
98,1.984467454426692
99,1.9842169515086827
100,1.9839715184496334
101,1.983731002885281
102,1.98349525849594
103,1.98326414470971
104,1.9830375264229898
105,1.9828152737371543
106,1.9825972617102907
107,1.9823833701230174
108,1.9821734832574511
109,1.981967489688474
110,1.98176528208651
